id,name,type,typecode,address,pcode,pname,citycode,cityname,adcode,adname,location,longitude,latitude,tel,biz_ext
B0FFG4ZA9I,拱北昌平社区公园,风景名胜;公园广场;公园,110101,港昌路与昌盛路交叉口北60米,440000,广东省,0756,珠海市,440402,香洲区,"113.542660,22.214976",113.54266,22.214976,[],"{'cost': [], 'rating': '4.3', 'ticket_ordering': '0'}"
B0FFH1Z6M4,唐家湾镇全民健身广场,风景名胜;公园广场;城市广场|风景名胜;公园广场;公园,110105|110101,港湾大道与唐淇路交叉口西80米,440000,广东省,0756,珠海市,440402,香洲区,"113.601044,22.363384",113.601044,22.363384,[],"{'cost': [], 'rating': '4.1', 'ticket_ordering': '0'}"
B0FFIAHQYN,南门村消防主题公园,风景名胜;公园广场;公园,110101,斗门镇南门村中心里,440000,广东省,0756,珠海市,440403,斗门区,"113.192895,22.233934",113.192895,22.233934,[],"{'cost': [], 'rating': '4.0', 'ticket_ordering': '0'}"
B02F402OXV,石花山公园,风景名胜;公园广场;公园,110101,石花东路,440000,广东省,0756,珠海市,440402,香洲区,"113.583273,22.244441",113.583273,22.244441,[],"{'cost': [], 'rating': '4.5', 'ticket_ordering': '0'}"
B02F401ZUE,香山公园,风景名胜;公园广场;公园,110101,园山路8号,440000,广东省,0756,珠海市,440402,香洲区,"113.573001,22.275352",113.573001,22.275352,0756-2231160,"{'cost': [], 'rating': '4.8', 'ticket_ordering': '0'}"
B02F400HUL,景山公园,风景名胜;公园广场;公园,110101,吉大海滨北路1号,440000,广东省,0756,珠海市,440402,香洲区,"113.570820,22.261023",113.57082,22.261023,0756-2113058;13232231538,"{'cost': '75.00', 'rating': '4.7', 'ticket_ordering': '0'}"
B0FFF9VOLQ,双拥林,风景名胜;公园广场;公园,110101,情侣中路海霞新村(外贸大厦东南),440000,广东省,0756,珠海市,440402,香洲区,"113.581405,22.269680",113.581405,22.26968,[],"{'cost': [], 'rating': '4.1', 'ticket_ordering': '0'}"
B0FFHDTKET,119消防主题公园,风景名胜;公园广场;公园,110101,泰来路与横山街交叉口东南120米,440000,广东省,0756,珠海市,440403,斗门区,"113.207624,22.316708",113.207624,22.316708,[],"{'cost': [], 'rating': '3.7', 'ticket_ordering': '0'}"
B0FFHDNHDF,南沙后花园(荣杰广场),风景名胜;公园广场;公园,110101,虹桥四路西28号,440000,广东省,0756,珠海市,440403,斗门区,"113.319065,22.209725",113.319065,22.209725,[],"{'cost': [], 'rating': '3.8', 'ticket_ordering': '0'}"
B0FFI2NKGU,悠然谷,风景名胜;公园广场;公园,110101,平沙镇珠海大道,440000,广东省,0756,珠海市,440404,金湾区,"113.238985,22.053688",113.238985,22.053688,18666937180,"{'cost': [], 'rating': '4.4', 'ticket_ordering': '0'}"
B0FFHRCX80,芒洲湿地公园,风景名胜;公园广场;公园,110101,琴海北路,440000,广东省,0756,珠海市,440402,香洲区,"113.441987,22.163136",113.441987,22.163136,[],"{'cost': [], 'rating': '4.7', 'ticket_ordering': '0'}"
B0FFHCL46P,澳门回归纪念公园,风景名胜;公园广场;公园,110101,前山立交桥西,440000,广东省,0756,珠海市,440402,香洲区,"113.522172,22.226986",113.522172,22.226986,[],"{'cost': [], 'rating': '4.6', 'ticket_ordering': '0'}"
B0FFGXV0C9,井岸西堤公园,风景名胜;公园广场;公园,110101,井岸镇南江路与西堤路交叉口北100米,440000,广东省,0756,珠海市,440403,斗门区,"113.304424,22.203158",113.304424,22.203158,[],"{'cost': [], 'rating': '4.6', 'ticket_ordering': '0'}"
B0FFGG0HB1,桂山舰纪念公园,风景名胜;公园广场;公园,110101,桂山岛,440000,广东省,0756,珠海市,440402,香洲区,"113.819038,22.129891",113.819038,22.129891,[],"{'cost': [], 'rating': '4.5', 'ticket_ordering': '0'}"
B0FFFFUZX5,外伶仃岛旅游度假区-石景公园,风景名胜;公园广场;公园,110101,外伶仃岛旅游度假区,440000,广东省,0756,珠海市,440402,香洲区,"114.042713,22.100686",114.042713,22.100686,[],"{'cost': [], 'rating': '4.6', 'ticket_ordering': '0'}"
B02F402LUN,白莲洞公园,风景名胜;公园广场;公园,110101,九洲大道中段北侧,440000,广东省,0756,珠海市,440402,香洲区,"113.562523,22.243757",113.562523,22.243757,0756-3331387,"{'cost': '40.00', 'rating': '4.8', 'ticket_ordering': '0'}"
B02F402LCI,野狸岛公园,风景名胜;公园广场;公园,110101,情侣路,440000,广东省,0756,珠海市,440402,香洲区,"113.589934,22.277654",113.589934,22.277654,0756-3212956,"{'cost': [], 'rating': '4.8', 'ticket_ordering': '0'}"
