Feature_Set,Model,Train_R2,CV_LOO_Mean,CV_LOO_Std,CV_TS_Mean,CV_TS_Std,Stable
original,ridge_strong,0.9908465620382056,,,-4.651697236678948,4.979101852941245,No
original,lasso,0.0,,,-62.885610289961086,39.38929476331494,No
original,elastic_net,0.5411263381170659,,,-58.51035866663407,33.23624746391653,No
original,random_forest,0.9955327685891368,,,-6.257515710601076,2.4382062622303953,No
pca,ridge_strong,0.9908263061023264,,,-4.6519518694408735,4.979771888821056,No
pca,lasso,0.5939200789622339,,,-57.78472306706142,32.33172669879703,No
pca,elastic_net,0.8393597717465208,,,-36.862391390339766,14.757164924096372,No
pca,random_forest,0.9940989529715625,,,-7.6854570932011725,2.521173767102772,No
selected,ridge_strong,0.9876112857783126,,,-8.313412228413387,6.644639376447918,No
selected,lasso,0.0,,,-62.885610289961086,39.38929476331494,No
selected,elastic_net,0.5001757289943509,,,-58.97819097761228,33.839597398330945,No
selected,random_forest,0.9956172814806606,,,-6.197954675852435,2.4234954865806833,No
manual,ridge_strong,0.9797470743804579,,,-8.981276363349455,6.824161735931068,No
manual,lasso,0.0,,,-62.885610289961086,39.38929476331494,No
manual,elastic_net,0.4914741016324855,,,-59.1515609105954,34.067000410212984,No
manual,random_forest,0.9948420131338311,,,-6.266745816029202,2.417438672564106,No
