years,carbon,population,gdp,technology,tourism
2000,398.81115116645987,174.94420785024073,3048.0628857379365,101.59423895737913,1865.0216464260636
2001,433.4739672096348,201.14519664423977,3865.7575203871015,114.19454937254326,2390.8430327754704
2002,499.0231815605025,191.08926433596625,3310.0741913734546,114.72772454237803,2879.5678505254577
2003,461.36699488782386,176.24665408586472,3463.0785136453983,117.0892893934068,2490.991273842467
2004,490.5359938264186,167.97837960969176,3925.0181759260327,112.5088305671077,2564.083830828989
2005,630.0466701411094,218.69094986996214,4451.430330059102,123.77550984326427,3474.880573662815
2006,648.1623693004581,231.3595435678942,5709.681564697761,132.86415012467603,4116.0131730910325
2007,720.540045263036,233.99403020892612,5918.206931034001,139.30469713173554,4957.591788697004
2008,652.9700128846298,217.48094217085944,5662.3168903167725,129.85808521864544,4643.654352650359
2009,742.986752970134,194.37579108567118,5467.369654500316,130.3284722035138,5142.743885419076
2010,957.5927709442097,228.95570238596116,6878.013586431506,143.82048920902122,6303.781842940806
2011,1015.425514906121,271.77002834275254,8773.553473501594,180.8016280633481,7857.647373032205
2012,1040.8094755133754,276.4213794752328,8931.894553796408,173.33372069948442,8677.683780244373
2013,1102.1869502269756,257.58287800803345,9493.529717006755,153.33771210999632,8028.5133943609
2014,1051.1619291454479,227.38053021944745,8896.624775590735,151.6186888864024,9061.86809974036
2015,1140.3483323856267,276.4295525396432,10918.446372548935,180.59783989536837,10912.199097504985
2016,1395.682726811348,287.89216677534165,13664.668648368299,200.13599593341084,14083.65206913995
2017,1546.8827709992331,290.3988910280217,13614.15237891522,189.2492377613955,15036.504431404906
2018,1364.059689810589,261.2543883598622,13841.18175093771,190.5409775050731,14607.838913519492
2019,1470.500169586904,269.6275585923119,13423.202710049507,178.43868938874786,13729.213875906831
2020,1837.4781739254586,308.9848596337463,17969.663217840873,224.23504084112372,12968.358478873468
2021,1998.280673199044,327.25276132102556,19595.64341132789,267.4437604343094,14879.434840651793
2022,2028.1853472451014,326.41165120738333,21565.19904003878,241.68168913537474,17490.76676506321
